Humidity,Wind Speed,Pressure,Temperature,Weather Condition
78,16,993,26.5,Rainy
91,10,1022,27.1,Rainy
68,16,1002,29.0,Cloudy
54,25,1009,29.0,Cloudy
82,5,996,25.4,Rainy
47,13,1004,30.7,Sunny
60,7,1012,31.2,Sunny
78,25,1003,24.4,Rainy
97,12,1012,24.9,Rainy
58,14,1008,29.0,Cloudy
62,26,1018,28.3,Cloudy
50,8,1009,33.4,Sunny
50,5,1018,33.2,Sunny
63,9,1013,32.0,Sunny
92,21,1007,20.7,Stormy
75,30,999,22.7,Cloudy
79,11,997,24.6,Rainy
63,27,1015,26.9,Cloudy
42,4,1018,37.2,Sunny
61,7,999,29.9,Cloudy
92,6,1006,23.8,Rainy
41,6,991,32.7,Sunny
63,24,995,26.7,Cloudy
83,10,994,26.7,Rainy
69,21,1017,28.3,Cloudy
77,19,994,25.4,Rainy
41,18,1007,31.5,Sunny
99,25,1015,20.8,Stormy
60,4,1009,30.5,Sunny
72,33,1016,22.9,Cloudy
51,14,1001,30.3,Sunny
97,26,996,20.3,Stormy
61,10,992,30.2,Sunny
83,5,999,26.1,Rainy
64,15,1023,28.7,Cloudy
88,12,1014,24.9,Rainy
66,4,1024,33.1,Cloudy
98,29,1005,19.1,Stormy
81,30,991,17.9,Rainy
67,10,1013,28.7,Cloudy
99,4,999,22.3,Rainy
55,26,1011,30.3,Sunny
54,13,1015,29.3,Cloudy
86,10,1016,26.0,Rainy
90,16,1018,24.7,Rainy
83,26,1009,24.4,Rainy
94,6,1016,26.2,Rainy
91,12,1009,24.8,Rainy
96,25,1008,19.1,Stormy
42,16,1009,31.1,Sunny
76,9,1024,29.0,Rainy
90,6,991,24.5,Rainy
46,27,1019,34.4,Sunny
60,19,1023,32.2,Sunny
48,7,1011,35.1,Sunny
78,14,992,24.9,Rainy
57,29,995,25.8,Cloudy
43,6,1004,34.7,Sunny
64,14,1016,32.8,Sunny
99,18,999,18.4,Rainy
53,33,998,29.6,Cloudy
89,30,1022,22.2,Stormy
97,4,1021,27.4,Rainy
48,28,995,26.7,Cloudy
65,14,991,28.0,Cloudy
92,34,1018,19.7,Stormy
41,7,993,31.8,Sunny
59,25,990,26.6,Cloudy
67,20,1008,29.1,Cloudy
86,17,1015,23.6,Rainy
99,29,1014,17.4,Stormy
46,34,999,28.5,Cloudy
83,14,1004,24.6,Rainy
47,26,1011,32.1,Sunny
86,28,1010,23.7,Stormy
74,8,1011,28.5,Cloudy
53,6,1023,37.8,Sunny
56,32,1019,29.5,Cloudy
75,24,1014,25.3,Cloudy
89,11,1017,23.1,Rainy
79,33,990,20.1,Rainy
43,31,993,28.6,Cloudy
41,32,996,31.2,Sunny
45,19,998,32.1,Sunny
93,3,1008,23.2,Rainy
81,15,990,23.5,Rainy
43,14,999,33.9,Sunny
93,30,998,21.2,Stormy
68,13,1021,31.6,Cloudy
57,3,1021,35.6,Sunny
65,33,995,24.3,Cloudy
83,14,1006,25.5,Rainy
73,28,999,25.7,Cloudy
49,18,1016,30.9,Sunny
75,32,1024,25.1,Cloudy
53,25,1010,28.9,Cloudy
70,7,1014,30.6,Cloudy
87,20,1017,26.1,Rainy
54,31,1004,27.1,Cloudy
47,8,993,28.8,Cloudy
53,11,1018,32.9,Sunny
62,33,998,26.6,Cloudy
99,29,1016,20.7,Stormy
96,16,1015,23.4,Rainy
79,31,1008,22.6,Rainy
60,30,1017,26.5,Cloudy
55,23,1006,30.3,Sunny
84,5,1009,25.4,Rainy
57,21,1012,33.4,Sunny
86,33,1021,23.5,Stormy
92,5,1022,25.6,Rainy
63,28,994,24.5,Cloudy
65,18,1023,30.1,Cloudy
64,13,1000,28.2,Cloudy
99,23,992,19.8,Stormy
99,18,1022,22.9,Rainy
99,11,1000,20.1,Rainy
84,2,1005,29.6,Rainy
80,23,1007,24.2,Rainy
68,27,1019,28.6,Cloudy
54,19,999,28.7,Cloudy
84,15,1007,25.2,Rainy
40,30,1008,32.2,Sunny
64,13,1002,26.0,Cloudy
46,13,992,34.6,Sunny
48,8,999,34.8,Sunny
63,30,990,23.9,Cloudy
40,12,1016,34.3,Sunny
83,34,997,20.8,Rainy
47,7,1006,34.3,Sunny
63,16,998,28.6,Cloudy
50,33,995,27.7,Cloudy
90,12,1014,25.5,Rainy
56,24,1017,32.6,Sunny
47,27,1022,33.3,Sunny
74,30,998,21.5,Cloudy
74,5,1007,30.7,Cloudy
72,18,1010,29.6,Cloudy
98,14,991,24.6,Rainy
44,16,1004,31.2,Sunny
81,30,1017,24.2,Rainy
78,30,1007,20.2,Rainy
97,12,1023,25.1,Rainy
80,33,1011,22.0,Rainy
67,3,1000,32.6,Cloudy
46,15,1002,31.3,Sunny
48,21,993,27.3,Cloudy
47,23,1011,31.1,Sunny
51,12,996,28.2,Cloudy
73,28,1013,26.6,Cloudy
72,4,993,24.5,Cloudy
87,18,1017,24.7,Rainy
94,29,1004,16.5,Stormy
62,30,990,24.3,Cloudy
63,22,992,28.7,Cloudy
76,17,1003,26.1,Rainy
74,21,990,22.4,Cloudy
83,7,1010,26.6,Rainy
79,20,1018,26.2,Rainy
61,6,994,30.5,Sunny
66,4,999,27.6,Cloudy
74,2,1017,31.3,Cloudy
40,16,1010,30.5,Sunny
74,26,996,22.6,Cloudy
76,25,992,22.1,Rainy
86,13,1009,25.8,Rainy
53,19,1008,30.9,Sunny
42,16,1024,33.7,Sunny
40,17,993,30.8,Sunny
44,28,994,29.9,Cloudy
65,9,990,27.8,Cloudy
94,26,993,17.9,Stormy
53,18,1001,29.5,Cloudy
78,30,1016,25.4,Rainy
66,9,1012,29.5,Cloudy
48,16,1014,33.1,Sunny
54,28,1010,32.5,Sunny
54,8,1013,31.1,Sunny
65,4,1014,28.9,Cloudy
81,30,1021,25.5,Rainy
99,25,1021,20.2,Stormy
52,4,994,31.6,Sunny
90,21,1005,20.8,Stormy
71,16,1022,28.8,Cloudy
78,26,1010,26.8,Rainy
88,31,998,21.0,Stormy
91,15,995,23.0,Rainy
71,8,1024,28.7,Cloudy
43,18,1011,31.9,Sunny
69,21,994,21.1,Cloudy
76,10,1012,26.7,Rainy
62,23,1006,29.4,Cloudy
78,3,1001,28.2,Rainy
84,25,1012,23.1,Rainy
54,9,1005,32.1,Sunny
82,12,992,22.8,Rainy
68,14,1019,30.1,Cloudy
75,18,1011,27.7,Cloudy
52,9,998,29.3,Cloudy
71,22,1018,28.0,Cloudy
46,19,1012,34.3,Sunny
98,31,1002,17.5,Stormy
90,19,1021,25.4,Rainy
61,32,1012,31.5,Sunny
67,33,1006,24.9,Cloudy
41,12,1010,35.6,Sunny
81,26,991,20.3,Rainy
84,34,995,20.1,Rainy
96,9,1007,23.8,Rainy
92,12,1019,25.2,Rainy
45,23,1011,30.8,Sunny
67,25,1022,28.7,Cloudy
67,18,1019,31.5,Cloudy
83,13,1006,25.8,Rainy
83,33,1021,24.8,Rainy
59,16,1003,29.1,Cloudy
69,17,999,27.8,Cloudy
50,23,1023,33.0,Sunny
97,29,998,16.8,Stormy
94,21,1017,23.1,Stormy
67,34,1000,22.7,Cloudy
64,11,1003,28.4,Cloudy
78,33,1008,23.1,Rainy
72,34,1004,24.0,Cloudy
40,3,1017,35.9,Sunny
96,34,1013,20.9,Stormy
66,34,997,24.9,Cloudy
96,14,998,20.1,Rainy
91,31,1022,19.7,Stormy
52,34,1022,29.9,Cloudy
80,14,1008,25.2,Rainy
42,27,992,30.1,Sunny
78,23,999,23.0,Rainy
45,3,990,30.3,Sunny
47,27,1018,31.4,Sunny
66,16,1023,29.9,Cloudy
48,12,1002,33.5,Sunny
76,4,990,25.3,Rainy
72,7,1023,33.2,Cloudy
90,10,1018,22.7,Rainy
81,7,1002,28.1,Rainy
83,10,1018,26.8,Rainy
63,32,1013,28.2,Cloudy
54,33,1015,29.1,Cloudy
98,13,1006,23.5,Rainy
93,9,996,21.9,Rainy
71,9,1002,26.4,Cloudy
71,29,994,25.6,Cloudy
63,21,1015,29.0,Cloudy
80,8,992,25.3,Rainy
91,12,996,24.2,Rainy
88,21,990,19.1,Stormy
88,17,1006,24.2,Rainy
97,5,1014,23.6,Rainy
91,7,992,22.6,Rainy
51,23,1004,30.2,Sunny
78,27,1018,22.9,Rainy
41,4,1021,36.6,Sunny
42,15,1015,36.9,Sunny
88,12,1005,25.4,Rainy
76,19,1014,26.4,Rainy
88,13,1017,25.7,Rainy
95,24,998,19.1,Stormy
56,13,990,31.2,Sunny
98,14,1018,22.8,Rainy
88,26,1011,22.6,Stormy
41,20,1005,34.7,Sunny
41,9,996,32.7,Sunny
67,30,1003,27.6,Cloudy
93,33,1018,18.5,Stormy
62,19,1008,31.3,Sunny
76,7,1008,27.4,Rainy
71,19,991,24.5,Cloudy
72,20,1004,23.2,Cloudy
40,23,992,30.4,Sunny
58,33,1000,24.7,Cloudy
41,4,1019,36.6,Sunny
92,29,1007,20.2,Stormy
83,11,991,25.1,Rainy
65,30,1021,28.1,Cloudy
71,16,997,26.6,Cloudy
45,34,1011,28.7,Cloudy
71,8,995,26.0,Cloudy
94,13,1001,24.8,Rainy
43,31,1004,29.3,Cloudy
94,22,1017,24.9,Stormy
50,32,1007,28.7,Cloudy
95,25,991,18.5,Stormy
98,21,1002,21.5,Stormy
56,5,1004,34.2,Sunny
77,29,1009,23.8,Rainy
63,21,1018,28.9,Cloudy
44,25,1018,32.9,Sunny
91,33,992,18.6,Stormy
73,3,1008,30.7,Cloudy
45,16,992,31.3,Sunny
61,7,1003,31.6,Sunny
50,13,993,33.3,Sunny
87,4,1000,25.7,Rainy
55,19,1020,32.3,Sunny
72,22,1021,25.4,Cloudy
48,16,1016,29.5,Cloudy
99,34,1019,20.0,Stormy
98,27,991,17.4,Stormy
45,9,998,32.5,Sunny
55,31,1017,29.7,Cloudy
68,24,1020,28.0,Cloudy
42,15,1023,37.5,Sunny
59,15,1004,29.9,Cloudy
99,3,1014,23.2,Rainy
98,6,997,23.5,Rainy
75,15,998,25.2,Cloudy
58,26,1021,30.9,Sunny
65,21,1006,26.9,Cloudy
42,3,1024,37.1,Sunny
58,7,1008,32.1,Sunny
59,18,1018,31.0,Sunny
71,26,996,24.9,Cloudy
46,29,1017,31.3,Sunny
91,3,998,21.4,Rainy
80,6,1017,27.7,Rainy
72,2,995,29.4,Cloudy
79,13,1018,27.0,Rainy
78,24,1006,23.9,Rainy
57,32,1005,28.8,Cloudy
79,12,1012,25.8,Rainy
40,11,1020,34.3,Sunny
50,4,992,32.1,Sunny
67,15,1010,28.0,Cloudy
96,17,1015,21.2,Rainy
64,11,1011,30.0,Cloudy
89,30,1001,20.9,Stormy
62,11,1002,29.6,Cloudy
70,13,1000,27.7,Cloudy
69,31,1005,27.6,Cloudy
